id_persona,fuente,nivel_referencia,dias_activos_semana,minutos_activos_dia,sesiones_entrenamiento_semana,intensidad_promedio,competencias_anuales,cluster,perfil_estimado,nivel_habito_estimado
FB-1503960366,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,6.86,278.6,6.86,2.07,0,1,bajo_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Activo
FB-1624580081,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,7.0,150.64,2.14,1.67,0,1,bajo_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Activo
FB-1644430081,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,6.83,228.55,4.44,1.84,0,2,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
FB-1844505072,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,4.17,128.91,0.83,1.52,0,1,bajo_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Activo
FB-1927972279,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,4.17,60.95,0.67,1.58,0,1,bajo_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Activo
FB-2022484408,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,7.0,314.02,6.67,2.01,0,2,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
FB-2026352035,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,7.0,232.53,1.33,1.5,0,3,alto_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Atleta amateur / Competitivo
FB-2320127002,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,6.5,181.42,1.5,1.54,0,1,bajo_minutos_activos_dia_bajo_sesiones_entrenamiento_semana,Activo
FB-2347167796,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,6.78,287.42,5.47,1.77,0,4,alto_minutos_activos_dia_bajo_dias_activos_semana,Atleta amateur / Competitivo
FB-2873212765,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,7.0,316.53,5.17,1.66,0,4,alto_minutos_activos_dia_bajo_dias_activos_semana,Atleta amateur / Competitivo
FB-2891001357,FitBit Fitness Tracker Data,sin_etiqueta_supervisada,2.62,251.25,0.88,1.99,0,5,alto_minutos_activos_dia_bajo_dias_activos_semana,Activo
