id_persona,fuente,nivel_referencia,dias_activos_semana,minutos_activos_dia,sesiones_entrenamiento_semana,intensidad_promedio,competencias_anuales,cluster,perfil_estimado,nivel_habito_estimado
UCI-001,UCI HAR Smartphones,sin_etiqueta_supervisada,4.41,73.34,3.25,3.17,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-002,UCI HAR Smartphones,sin_etiqueta_supervisada,4.06,68.16,2.92,3.01,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-003,UCI HAR Smartphones,sin_etiqueta_supervisada,3.92,66.0,2.8,2.94,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-004,UCI HAR Smartphones,sin_etiqueta_supervisada,3.97,66.64,2.86,2.95,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-005,UCI HAR Smartphones,sin_etiqueta_supervisada,3.98,66.85,2.86,2.96,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-006,UCI HAR Smartphones,sin_etiqueta_supervisada,3.88,65.17,2.79,2.9,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-007,UCI HAR Smartphones,sin_etiqueta_supervisada,4.02,67.58,2.88,2.99,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-008,UCI HAR Smartphones,sin_etiqueta_supervisada,3.71,62.15,2.7,2.78,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-009,UCI HAR Smartphones,sin_etiqueta_supervisada,3.98,66.91,2.85,2.97,0,2,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-010,UCI HAR Smartphones,sin_etiqueta_supervisada,3.82,63.93,2.77,2.85,0,2,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-011,UCI HAR Smartphones,sin_etiqueta_supervisada,4.02,67.55,2.88,2.99,0,2,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-012,UCI HAR Smartphones,sin_etiqueta_supervisada,3.78,63.53,2.7,2.85,0,2,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-013,UCI HAR Smartphones,sin_etiqueta_supervisada,3.92,65.87,2.81,2.93,0,3,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-014,UCI HAR Smartphones,sin_etiqueta_supervisada,3.93,66.07,2.83,2.93,0,3,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-015,UCI HAR Smartphones,sin_etiqueta_supervisada,3.63,60.82,2.65,2.73,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-016,UCI HAR Smartphones,sin_etiqueta_supervisada,3.44,57.69,2.5,2.62,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-017,UCI HAR Smartphones,sin_etiqueta_supervisada,3.53,58.85,2.6,2.65,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-018,UCI HAR Smartphones,sin_etiqueta_supervisada,3.79,63.76,2.7,2.86,0,3,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-019,UCI HAR Smartphones,sin_etiqueta_supervisada,3.18,52.86,2.38,2.43,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-020,UCI HAR Smartphones,sin_etiqueta_supervisada,3.49,58.52,2.53,2.65,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-021,UCI HAR Smartphones,sin_etiqueta_supervisada,3.12,51.91,2.31,2.4,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-022,UCI HAR Smartphones,sin_etiqueta_supervisada,3.32,55.34,2.45,2.53,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-023,UCI HAR Smartphones,sin_etiqueta_supervisada,3.65,61.12,2.64,2.75,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-024,UCI HAR Smartphones,sin_etiqueta_supervisada,3.71,62.38,2.66,2.8,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-025,UCI HAR Smartphones,sin_etiqueta_supervisada,3.89,65.27,2.81,2.9,0,3,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
UCI-026,UCI HAR Smartphones,sin_etiqueta_supervisada,3.51,58.76,2.56,2.66,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-027,UCI HAR Smartphones,sin_etiqueta_supervisada,3.43,57.19,2.52,2.6,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-028,UCI HAR Smartphones,sin_etiqueta_supervisada,3.37,56.36,2.47,2.57,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-029,UCI HAR Smartphones,sin_etiqueta_supervisada,3.62,60.65,2.62,2.73,0,1,bajo_minutos_activos_dia_bajo_dias_activos_semana,Activo
UCI-030,UCI HAR Smartphones,sin_etiqueta_supervisada,4.01,67.6,2.84,3.0,0,3,alto_minutos_activos_dia_alto_dias_activos_semana,Activo
